program,function,names,circuit,circuit_name,circuit_members,function_main_width,circuit_main_width,canonical_seed_words,canonical_seed_bytes,guarded_u8_seed_bytes_estimate,function_expansion_canonical,circuit_expansion_canonical,static_operation_sites,static_external_read_sites,preparation_arithmetic_sites,row_operation_sites,real_rows
ixvm,594,count_foralls_at_least,86,ixvm_group_61,9,13,54,9,72,16,1.444444,6.000000,7,2,1,3,
ixvm,595,check_eq_type,50,ixvm_group_32,11,16,89,15,120,24,1.066667,5.933333,9,3,0,3,
ixvm,596,check_quot,85,ixvm_group_60,9,15,65,8,64,16,1.875000,8.125000,30,9,5,17,
ixvm,597,peel_n_foralls,32,ixvm_group_24,5,11,21,8,64,16,1.375000,2.625000,4,2,0,2,
ixvm,598,assert_lvls_are_params,80,ixvm_group_55,9,13,43,10,80,24,1.300000,4.300000,11,3,0,3,
ixvm,599,assert_first_args_are_param_bvars,146,ixvm_group_82,6,15,30,12,96,24,1.250000,2.500000,11,2,1,3,
ixvm,600,assert_return_head_is_parent,31,ixvm_group_23,14,19,45,18,144,32,1.055556,2.500000,6,3,0,3,
ixvm,601,check_ctor_return_type,65,ixvm_group_40,7,21,58,20,160,32,1.050000,2.900000,21,8,4,8,
ixvm,602,check_param_agreement_go,90,ixvm_group_64,8,18,44,15,120,24,1.200000,2.933333,10,4,1,4,
ixvm,603,check_param_agreement,72,ixvm_group_47,12,6,54,5,40,16,1.200000,10.800000,4,1,2,1,
ixvm,604,get_result_sort_level,76,ixvm_group_51,6,14,32,11,88,24,1.272727,2.909091,8,5,1,5,
ixvm,605,check_field_universes_inner,90,ixvm_group_64,8,13,44,11,88,24,1.181818,4.000000,8,4,1,4,
ixvm,606,check_field_universes_skip_params,146,ixvm_group_82,6,13,30,10,80,24,1.300000,3.000000,7,2,1,2,
ixvm,607,check_field_universes,80,ixvm_group_55,9,11,43,8,64,16,1.375000,5.375000,5,2,2,2,
ixvm,609,addr_list_contains,80,ixvm_group_55,9,12,43,8,64,16,1.500000,5.375000,5,3,0,3,
ixvm,610,caddr_is_peer,31,ixvm_group_23,14,19,45,17,136,24,1.117647,2.647059,4,3,0,3,
ixvm,611,expr_mentions_block,72,ixvm_group_47,12,26,54,10,80,24,2.600000,5.400000,20,12,0,12,
ixvm,612,list_any_mentions_block,19,ixvm_group_11,11,12,56,8,64,16,1.500000,7.000000,5,3,0,3,
ixvm,613,peel_n_foralls_with_types,146,ixvm_group_82,6,15,30,11,88,24,1.363636,2.727273,6,3,1,3,
ixvm,614,assert_occ_param_bvars,8,ixvm_group_05,12,15,104,12,96,24,1.250000,8.666667,10,2,1,3,
